Student ID,Full Name,Gender,Gmail,Program,Year Level,University
BEE-113-00026,Haley Meyers,Female,haleymeyers@gmail.com,BS Elementary Education,2nd Year,Caraga State University - Main Campus
BG-113-00027,Brian Berry,Male,brianberry@gmail.com,BS Geolody,5th Year,Caraga State University - Main Campus
BBA-113-00028,Jerry Mendez,Male,jerrymendez@gmail.com,BS Business Administration,1st Year,Caraga State University - Main Campus
BIS-113-00029,Darlene Haynes,Female,darlenehaynes@gmail.com,BS Information Systems,4th Year,Caraga State University - Cabadbaran Campus
BTM-113-00030,Douglas Young,Male,douglasyoung@gmail.com,BS Tourism Management,5th Year,Caraga State University - Cabadbaran Campus
BF-113-00031,Stephen Deleon,Male,stephendeleon@gmail.com,BS Forestry,2nd Year,Caraga State University - Main Campus
BEE-113-00032,Taylor Wilcox,Female,taylorwilcox@gmail.com,BS Electrical Engineering,6th Year,Caraga State University - Main Campus
BP-113-00033,Yvonne Holland,Female,yvonneholland@gmail.com,BS Physics,6th Year,Caraga State University - Cabadbaran Campus
BIT-113-00034,Raymond Hicks,Male,raymondhicks@gmail.com,BS Information Technology,3rd Year,Caraga State University - Cabadbaran Campus
BEE-113-00035,Miss Kimberly Valdez,Female,misskimberlyvaldez@gmail.com,BS Electrical Engineering,4th Year,Caraga State University - Main Campus
BGE-113-00036,Matthew Barnett,Male,matthewbarnett@gmail.com,BS Geodetic Engineering,1st Year,Caraga State University - Main Campus
BC-113-00037,Jacob Long,Male,jacoblong@gmail.com,BS Chemistry,4th Year,Caraga State University - Cabadbaran Campus
BP-113-00038,James Gonzalez,Male,jamesgonzalez@gmail.com,BS Physics,1st Year,Caraga State University - Main Campus
BEE-113-00039,Jennifer Wiley,Female,jenniferwiley@gmail.com,BS Elementary Education,6th Year,Caraga State University - Main Campus
BP-113-00040,Kimberly Dawson,Female,kimberlydawson@gmail.com,BS Psychology,1st Year,Caraga State University - Main Campus
BP-113-00041,Kristen Cross,Female,kristencross@gmail.com,BS Psychology,3rd Year,Caraga State University - Main Campus
BEE-113-00042,Jonathan Elliott,Male,jonathanelliott@gmail.com,BS Elementary Education,6th Year,Caraga State University - Main Campus
BIT-113-00043,John Juarez,Male,johnjuarez@gmail.com,BS Information Technology,5th Year,Caraga State University - Cabadbaran Campus
BES-113-00044,Joshua Shaffer,Male,joshuashaffer@gmail.com,BS Environmental Science,2nd Year,Caraga State University - Main Campus
BG-113-00045,Faith Murphy,Female,faithmurphy@gmail.com,BS Geolody,5th Year,Caraga State University - Cabadbaran Campus
BES-113-00046,Emily Guzman,Female,emilyguzman@gmail.com,BS Environmental Science,2nd Year,Caraga State University - Cabadbaran Campus
BEE-113-00047,Glenda Price,Female,glendaprice@gmail.com,BS Elementary Education,3rd Year,Caraga State University - Main Campus
BP-113-00048,Robert Baker,Male,robertbaker@gmail.com,BS Psychology,6th Year,Caraga State University - Cabadbaran Campus
BM-113-00049,Vanessa Turner,Female,vanessaturner@gmail.com,BS Mathematics,3rd Year,Caraga State University - Cabadbaran Campus
BC-113-00050,Eric Wolfe,Male,ericwolfe@gmail.com,BS Chemistry,3rd Year,Caraga State University - Cabadbaran Campus
BM-113-00051,Theresa Daniels,Female,theresadaniels@gmail.com,BS Mathematics,3rd Year,Caraga State University - Cabadbaran Campus
BBA-113-00052,James Nelson,Male,jamesnelson@gmail.com,BS Business Administration,2nd Year,Caraga State University - Main Campus
BGE-113-00053,Christopher Sloan,Male,christophersloan@gmail.com,BS Geodetic Engineering,6th Year,Caraga State University - Cabadbaran Campus
BA-113-00054,Lori Gibbs,Female,lorigibbs@gmail.com,BS Accountancy,1st Year,Caraga State University - Cabadbaran Campus
BIS-113-00055,Timothy Carlson,Male,timothycarlson@gmail.com,BS Information Systems,6th Year,Caraga State University - Main Campus
BP-113-00056,Angela Martin,Female,angelamartin@gmail.com,BS Psychology,6th Year,Caraga State University - Cabadbaran Campus
BCE-113-00057,Kimberly Cochran,Female,kimberlycochran@gmail.com,BS Civil Engineering,3rd Year,Caraga State University - Main Campus
BEE-113-00058,Brenda Smith,Female,brendasmith@gmail.com,BS Elementary Education,4th Year,Caraga State University - Main Campus
BP-113-00059,William Knight,Male,williamknight@gmail.com,BS Psychology,5th Year,Caraga State University - Main Campus
BC-113-00060,Brooke Walker,Female,brookewalker@gmail.com,BS Chemistry,2nd Year,Caraga State University - Main Campus
BM-113-00061,Rachel Allen,Female,rachelallen@gmail.com,BS Mathematics,1st Year,Caraga State University - Cabadbaran Campus
BEE-113-00062,Alicia Jones,Female,aliciajones@gmail.com,BS Elementary Education,2nd Year,Caraga State University - Main Campus
BB-113-00063,Joseph Wilson,Male,josephwilson@gmail.com,BS Biology,5th Year,Caraga State University - Main Campus
BCE-113-00064,Megan Williams,Female,meganwilliams@gmail.com,BS Civil Engineering,6th Year,Caraga State University - Cabadbaran Campus
BG-113-00065,Tasha Mann,Female,tashamann@gmail.com,BS Geolody,3rd Year,Caraga State University - Main Campus
BC-113-00066,Erin Nguyen,Female,erinnguyen@gmail.com,BS Chemistry,6th Year,Caraga State University - Cabadbaran Campus
BP-113-00067,Nancy Kirk,Female,nancykirk@gmail.com,BS Physics,3rd Year,Caraga State University - Cabadbaran Campus
BEE-113-00068,Michael Hudson,Male,michaelhudson@gmail.com,BS Electrical Engineering,1st Year,Caraga State University - Main Campus
BP-113-00069,Greg Andrade,Male,gregandrade@gmail.com,BS Physics,5th Year,Caraga State University - Main Campus
BF-113-00070,Alexander Kline,Male,alexanderkline@gmail.com,BS Forestry,1st Year,Caraga State University - Cabadbaran Campus
BA-113-00071,Erin Mcdonald,Female,erinmcdonald@gmail.com,BS Accountancy,3rd Year,Caraga State University - Main Campus
BEE-113-00072,Travis Vaughan,Male,travisvaughan@gmail.com,BS Electrical Engineering,5th Year,Caraga State University - Cabadbaran Campus
BP-113-00073,Linda Grimes,Female,lindagrimes@gmail.com,BS Physics,4th Year,Caraga State University - Main Campus
BP-113-00074,Brandon Nelson,Male,brandonnelson@gmail.com,BS Psychology,5th Year,Caraga State University - Main Campus
BP-113-00075,Paul Bishop,Male,paulbishop@gmail.com,BS Psychology,1st Year,Caraga State University - Main Campus
BCS-113-00076,Dennis Evans,Male,dennisevans@gmail.com,BS Computer Science,3rd Year,Caraga State University - Main Campus
BB-113-00077,Robert Mitchell,Male,robertmitchell@gmail.com,BS Biology,1st Year,Caraga State University - Main Campus
BB-113-00078,William Anderson,Male,williamanderson@gmail.com,BS Biology,4th Year,Caraga State University - Main Campus
BCS-113-00079,Timothy Gonzalez,Male,timothygonzalez@gmail.com,BS Computer Science,2nd Year,Caraga State University - Main Campus
BES-113-00080,Keith Garcia,Male,keithgarcia@gmail.com,BS Environmental Science,4th Year,Caraga State University - Main Campus
BIT-113-00081,Christine Avila,Female,christineavila@gmail.com,BS Information Technology,1st Year,Caraga State University - Main Campus
BB-113-00082,Leslie Dodson,Female,lesliedodson@gmail.com,BS Biology,3rd Year,Caraga State University - Cabadbaran Campus
BIT-113-00083,Donald Brown,Male,donaldbrown@gmail.com,BS Information Technology,5th Year,Caraga State University - Cabadbaran Campus
BF-113-00084,Julie Armstrong,Female,juliearmstrong@gmail.com,BS Forestry,4th Year,Caraga State University - Cabadbaran Campus
BCE-113-00085,Donald Gomez,Male,donaldgomez@gmail.com,BS Civil Engineering,3rd Year,Caraga State University - Cabadbaran Campus
BEE-113-00086,Nicholas Burgess,Male,nicholasburgess@gmail.com,BS Elementary Education,1st Year,Caraga State University - Main Campus
BGE-113-00087,Whitney Bishop,Female,whitneybishop@gmail.com,BS Geodetic Engineering,5th Year,Caraga State University - Cabadbaran Campus
BEE-113-00088,Linda Tate,Female,lindatate@gmail.com,BS Elementary Education,4th Year,Caraga State University - Cabadbaran Campus
BG-113-00089,Mary Barr,Female,marybarr@gmail.com,BS Geolody,2nd Year,Caraga State University - Cabadbaran Campus
BIS-113-00090,Paul Brown,Male,paulbrown@gmail.com,BS Information Systems,3rd Year,Caraga State University - Main Campus
BA-113-00091,Greg Bentley,Male,gregbentley@gmail.com,BS Accountancy,3rd Year,Caraga State University - Cabadbaran Campus
BCS-113-00092,Jennifer Walsh,Female,jenniferwalsh@gmail.com,BS Computer Science,4th Year,Caraga State University - Cabadbaran Campus
BEE-113-00093,Crystal Davis,Female,crystaldavis@gmail.com,BS Electrical Engineering,6th Year,Caraga State University - Main Campus
BTM-113-00094,Jesus Steele,Male,jesussteele@gmail.com,BS Tourism Management,1st Year,Caraga State University - Main Campus
BA-113-00095,Holly Jenkins,Female,hollyjenkins@gmail.com,BS Accountancy,6th Year,Caraga State University - Main Campus
BEE-113-00096,Bryan Shepherd,Male,bryanshepherd@gmail.com,BS Elementary Education,6th Year,Caraga State University - Main Campus
BCE-113-00097,Robert Moon,Male,robertmoon@gmail.com,BS Civil Engineering,5th Year,Caraga State University - Main Campus
BA-113-00098,Thomas Hurst,Male,thomashurst@gmail.com,BS Accountancy,3rd Year,Caraga State University - Main Campus
BGE-113-00099,Michael Preston,Male,michaelpreston@gmail.com,BS Geodetic Engineering,1st Year,Caraga State University - Cabadbaran Campus
BP-113-00100,Matthew Duran,Male,matthewduran@gmail.com,BS Psychology,6th Year,Caraga State University - Main Campus
